skill,vault_hunter,tree,branch,effect,image_url
Fiendish Invigoration,Vex,Vexcalation,,"When Vex uses a Repkit, she and her Minion(s) gain increased Movement Speed and Fire Rate for a Duration.",https://img.game8.co/4265046/f95312a67b298b6b0bc218eff0c3ccd0.png/show
Geistwave,Vex,Vexcalation,,"Instead of causing a Phase Explosion, Vex launches a Geistwave, dealing Ordnance Damage to enemies it passes through. Each affected enemy takes increased Damage for a Duration.",https://img.game8.co/4265045/cc6776272be9a4906e90191dd92deb61.png/show
Grave Implements,Vex,Vexcalation,,Kill Skill. Vex and her Minion(s) gain increased Gun Damage for a Duration. This effect can stack.,https://img.game8.co/4265042/f8e53208ba0ac7e03acbe132f98da663.png/show
Grave Power,Vex,Vexcalation,,Vex's Kill Skills gain increased Max Stacks.,https://img.game8.co/4265056/21869cdd8e03f275851680f9ec13c5f0.png/show
Grave Sights,Vex,Vexcalation,,Kill Skill. Vex gains increased Critical Hit Damage and Gun Handling. This effect can stack.,https://img.game8.co/4265021/56ad9e6984e8f34b1be552e114a79d57.png/show
Guns and Needles,Vex,Vexcalation,,Kill Skill. Restores Repkit Cooldown.,https://img.game8.co/4265025/fe8d71bc95a129489629b39a9ca02c9c.png/show
Leeching Attunement,Vex,Vexcalation,,"Attunement Skill. While Vex is Attuned to Kinetic, she gains Lifesteal and increased Reload Speed. These effects persist for a Duration after Attunement is switched.",https://img.game8.co/4265027/743dba96d52376bb91728a731bd76254.png/show
Material Components,Vex,Vexcalation,,Vex gains increased Kinetic Damage and Kinetic Status Effect Damage.,https://img.game8.co/4265028/b18127a8b4650e2463171de956087075.png/show
Target Prescience,Vex,Vexcalation,,Vex's Gun Damage gains Critical Hit Chance against any part of enemies.,https://img.game8.co/4265054/ebba7e96220b98a0e02508c5de0ce3ab.png/show
Volatile Essence,Vex,Vexcalation,,Vex gains increased Splash Damage. Double this effect when an Action Skill is active.,https://img.game8.co/4265033/3b00d67f8c1306e39eff993208ea7409.png/show
Blast Rites,Vex,Here Comes Trouble,Branch 1,"Whenever Vex uses an Ordnance, she gains Overshield, and also gains increased Fire Rate for a Duration.",https://img.game8.co/4265096/cb10167f351b349ceb531b2680d374d1.png/show
Blasted Fiends,Vex,Here Comes Trouble,Branch 1,Vex gains increased Ordnance Damage. A perfect of Vex's Ordnance Damage increases Minion Damage.,https://img.game8.co/4265095/6708e12aaf0b5b234cf90c282509367a.png/show
Corporeal,Vex,Here Comes Trouble,Branch 1,"Vex and her Minion(s) gain increased Maximum Overshield Capacity and Overshield Duration. While Vex has Overshield, she and her Minion(s) gain increased Damage Dealt.",https://img.game8.co/4265090/3ba0ffb35f835e93aefe438d8585ec5a.png/show
Hexus Nexus,Vex,Here Comes Trouble,Branch 1,"Trouble now Taunts enemies, making them more likely to target him. Command Skill. Press and hold Action Skill to Command Trouble to charge target enemy, dealing Melee Damage in a radius on impact, and creating a Singularity for a Duration.",https://img.game8.co/4265104/3401170cfc489746e5daaa90f348de4c.png/show
Icy Attunement,Vex,Here Comes Trouble,Branch 1,"Attunement Kill Skill. While Vex is Attuned to Cryo, killing an enemy restore Ammo and Ordnance Cooldown. Effects persist for a Duration after Attunement is switched.",https://img.game8.co/4265119/17cbc853553c9b53554a40dd8eda8e67.png/show
Overspirited,Vex,Here Comes Trouble,Branch 1,Kill Skill. Killing an enemy with Ordnance Damage or an Action Skill will spawn an Explosive Remnant that deals Cryo Ordnance Damage to nearby enemies. Explosive Remnant gains increased Damage based on Overkill Damage.,https://img.game8.co/4265106/e64f25738dc0855d0e2f75e41f8b6e79.png/show
Shiver,Vex,Here Comes Trouble,Branch 1,Vex gains increased Cryo Damage and Cryo Status Effect Damage.,https://img.game8.co/4265108/670a646ba2331f89f25c14bdd7f48bfd.png/show
Trouble Bubble,Vex,Here Comes Trouble,Branch 1,"While Phase Phamiliar is active, Trouble gains an Elemental Aura, dealing Ordnance Damage over time to nearby enemies.",https://img.game8.co/4265120/ff9bbc678079c56adad76ab32879ffb8.png/show
Blight Attunement,Vex,The Fourth Seal,Branch 1,"Attunement Kill Skill. While Vex is Attuned to Corrosive, killing an enemy creates a Haunting Remnant Minion for a Duration that seeks our nearby enemies, dealing Corrosive Status Effect Damage over time. Kill Skill. Restore Haunting Remnant's Duration, if active.",https://img.game8.co/4264938/2f5ed8af66edeccf37485c91ce1202a8.png/show
Ghasterbait,Vex,The Fourth Seal,Branch 1,"Whenever Vex Dodges, she creates a Specter nearby and becomes Invisible for a Duration, or until her next Gun Shot.",https://img.game8.co/4264946/43c0317dbc12844c3378138da7ed0d04.png/show
Heirloom,Vex,The Fourth Seal,Branch 1,"Specters gain a copy of Vex's currently-equipped Gun for a Duration. Only one Specter can have a copied Gun at a time, and spawning a new Specter will remove the copied Gun from the previous Specter.",https://img.game8.co/4264966/c9bb1aa32f4b26872a7fe43695663012.png/show
Keen Suffering,Vex,The Fourth Seal,Branch 1,Status Effect Damage gains a chance to Critically Hit.,https://img.game8.co/4264950/c4fc3f2391497bee16af0bf07f97b57a.png/show
Necrosis,Vex,The Fourth Seal,Branch 1,Vex gains increased Corrosive Damage and Corrosive Status Effect Damage.,https://img.game8.co/4264945/e226699a72ac8e396e3e38a60f1f95b7.png/show
Prismatic Ichor,Vex,The Fourth Seal,Branch 1,"When Vex or her Minion(s) apply a Status Effect, apply another random Elemental Status Effect.",https://img.game8.co/4264964/07d88c65d2eb199afe570b228261d236.png/show
Shot to Go!,Vex,The Fourth Seal,Branch 1,"When Vex swaps her current Gun, her new Gun has its Ammo partially Refilled.",https://img.game8.co/4264955/b97ed7bfe9d73b16ccdbd1bb66bc70fb.png/show
Wither,Vex,The Fourth Seal,Branch 1,"Minion Skill. Specters cast Wither on an enemy when they Spawn, dealing Status Effect Damage over time, and increasing Damage Taken for a Duration. Can stack once per Elemental Type. Kill Skill. Killing a Withered enemy allows Specters to use Wither again.",https://img.game8.co/4264962/25112d6a840cf3d1c630d454bf3a1e79.png/show
Conjunction,Vex,Vexcalation,Branch 1,Vex gains increased Gun Damage the more full her Shield and gains Damage Reduction the less full her Health.,https://img.game8.co/4265041/195576ec1712b6746259641bd8f8d938.png/show
Desecration,Vex,Vexcalation,Branch 1,"Phase Explosion and Eldritch Blast create Hazards, dealing Damage over time for a Duration. Eldritch Blast is now Homing. If it hits an airborne enemy, it bursts after a delay, dealing Damage to other nearby enemies.",https://img.game8.co/4265048/bccdaa812e3c8f35a35948c862d774f8.png/show
Dreadlight,Vex,Vexcalation,Branch 1,"When Vex deals Gun Damage, there is a chance to spawn a Radioactive Hazard, dealing Radiation Damage over time.",https://img.game8.co/4265050/5c329154d9c7cf45a6f124ba84ab0557.png/show
Full Moon,Vex,Vexcalation,Branch 1,Vex gains increased Action Skill Cooldown Rate and Ordnance Cooldown Rate based on the fullness of her Shield.,https://img.game8.co/4265036/1a19c66b378051523acd7c16f140f720.png/show
Havoc,Vex,Vexcalation,Branch 1,Vex gains increased Radiation Damage and Radiation Status Effect Damage.,https://img.game8.co/4265032/eee30636d2b3102e5bbb554b7105ba72.png/show
Iron Maiden,Vex,Vexcalation,Branch 1,Phase Explosion and Eldritch Blast restore Shield for each enemy hit and deal increased Damage based on Vex's current Shield.,https://img.game8.co/4265044/0e8a8fa905707779bbe1e71d85b81093.png/show
Radiant Attunement,Vex,Vexcalation,Branch 1,"Attunement Skill. While Vex is Attuned to Radiation, she gains increased Splash Damage and Maximum Shield Capacity. These effects persist for a Duration after Attunement is switched.",https://img.game8.co/4265029/1482a4cf5c0a74182225b59c2549b846.png/show
Restorative Tonic,Vex,Vexcalation,Branch 1,"When Vex uses a Repkit, she gains increased Shield Regeneration for a Duration.",https://img.game8.co/4265030/3eb9e1d5b4ce97779fec33cb34c869de.png/show
Double Trouble,Vex,Here Comes Trouble,Branch 2,Trouble now gains a Chance to create an Illusion near the enemy when dealing Damage. Critical Hits have double that chance. Illusions become Badasses while Phase Phamiliar is active.,https://img.game8.co/4265103/4b1af647ce9a4e4fbcd7d43260a58f85.png/show
Elemental Essence,Vex,Here Comes Trouble,Branch 2,Vex gains increased Elemental Damage. Double this effect when an Action Skill is active.,https://img.game8.co/4265097/8ac9254a03e3465d3ed64b3a9ee47ceb.png/show
Infernal Sum,Vex,Here Comes Trouble,Branch 2,Vex and her Minion(s) deal increased Critical Hit Damage to enemies who have less than a set percentage of their Health.,https://img.game8.co/4265115/84323c19ec6e21cb4ad92eb62ebcab1e.png/show
Keen Fiends,Vex,Here Comes Trouble,Branch 2,Minion Damage gains Critical Hit Chance against any part of enemies.,https://img.game8.co/4265117/0b582238e9601822c5166fd4c72d180e.png/show
Reawakening,Vex,Here Comes Trouble,Branch 2,"Whenever Vex or her Minion(s) Critically Hit, there is a chance to restore Action Skill Cooldown.",https://img.game8.co/4265116/3be733ba19da72c47f1d82b9525b5c34.png/show
Sacrificial Essence,Vex,Here Comes Trouble,Branch 2,"Kill Skill. Vex and her Minion(s) gain increased Damage Dealt, but Vex also gains increased Damage Taken for a Duration. Stacks are lost when Vex Dodges or enters Fight For Your Life. This effect can stack.",https://img.game8.co/4265121/7de51ae77c3d8e333eb69d30e17fce61.png/show
Tail Whip,Vex,Here Comes Trouble,Branch 2,"Trouble gains the ability to Tail Whip, dealing damage in an area over 2 hits.",https://img.game8.co/4265109/a9ad545dad970c0cff9c5c4ddaf78a19.png/show
Vorpal Fang,Vex,Here Comes Trouble,Branch 2,"Trouble gains a chance to Critically Hit with all attacks. Command Skill. Press and hold Action Skill to Command Trouble to summon Phase Daggers overhead that fire at nearby enemies, dealing Melee Damage on impact.",https://img.game8.co/4265124/595bcb9a35ece55f3f5a448546cf5287.png/show
Burning Attunement,Vex,The Fourth Seal,Branch 2,"Attunement Skill. While Vex is Attuned to Incendiary, Vex and her Minion(s) gain increased Critical Hit Damage and Status Effect Application Chance. These effects persist for a Duration after Attunement is switched.",https://img.game8.co/4264933/97ee37c214a42a830c56859b5280823b.png/show
Burnt Offering,Vex,The Fourth Seal,Branch 2,Vex gains increased Incendiary Damage and Incendiary Status Effect Damage.,https://img.game8.co/4264937/c2d3fcfbacd174393ab88f4ca7604694.png/show
Grim Reaper,Vex,The Fourth Seal,Branch 2,"Press and hold ability to spawn a Grim Reader that drains nearby enemies, dealing Status Effect Damage over time, and regenerating Health for each drained enemy. When an enemy dies while being drained, there is a chance a new Reaper will be spawned.",https://img.game8.co/4264960/2823960f6b2747b32de1b964706e7bb2.png/show
Haruspex,Vex,The Fourth Seal,Branch 2,Melee Override. Vex now throws a Phase Dagger from her offhand that deals Melee Damage to enemies hit. Phase Daggers can Critically Hit. Kill Skill. Haruspex's Cooldown is reset.,https://img.game8.co/4264959/8034614f25ad7ecced097ca44512ff31.png/show
Hellish Harvest,Vex,The Fourth Seal,Branch 2,"Minion Skill. Reapers gain the ability to use Hellish Harvest, dealing Melee Damage 3 times in a large area around themselves and regenerate Health for each enemy hit. Reapers will use Hellish Harvest on spawn, and every third time they Melee Attack.",https://img.game8.co/4264958/c75d97ac68f7e8d8c1b34814d1c105d6.png/show
Pincushion,Vex,The Fourth Seal,Branch 2,Haruspex now throws multiple Phase Daggers from both hands in a fan pattern. Killing an enemy now only refunds a portion of Haruspex's Cooldown.,https://img.game8.co/4264949/1d1675dc920daa2eb06d17d110eb5b98.png/show
Recurrence,Vex,The Fourth Seal,Branch 2,"Whenever Vex deals Gun Damage or Melee Damage, gain a Stack of Recurrence, which increases her and her Minions' Gun Damage and Melee Damage. Stacks of Recurrence are lost if a new Stack has not been gained for a Duration. This effect can stack.",https://img.game8.co/4264956/c0f9eae1ff20a21b4d671dce981fff57.png/show
Reverburnations,Vex,The Fourth Seal,Branch 2,Melee Damage dealt by Vex or her Minion(s) has a chance to deal Incendiary Melee Damage.,https://img.game8.co/4264948/6c49e39e8eed1cb9b7286908a4abd1d9.png/show
Drink Full,Vex,Vexcalation,Branch 2,"Whenever Vex deals Gun Damage, she gains a Stack of Drink Full, increasing her Fire Rate. Stacks of Drink Full are lost if a new Stack has not been gained for a Duration. This effect can stack.",https://img.game8.co/4265055/dfc27b6102740802a97e6a5ca61aeef3.png/show
Grave Elements,Vex,Vexcalation,Branch 2,Kill Skill. Vex and Minion(s) gain Elemental Damage for a Duration. This effect can stack.,https://img.game8.co/4265037/bff6970c5d40e507ac28481e186777a7.png/show
Keen Mind,Vex,Vexcalation,Branch 2,Vex's Skill Damage gains Critical Hit Chance against any part of enemies.,https://img.game8.co/4265024/0becbbff92c95d6a6f4095cea0637e6e.png/show
Mortal Terror,Vex,Vexcalation,Branch 2,Chance to Activate Kill Skills when Critically Hitting enemies.,https://img.game8.co/4265031/dbc705df0a8957e7aca831a923a6d334.png/show
Phase Pocket,Vex,Vexcalation,Branch 2,Vex gains increased Magazine Size and Gun Switch Speed. Double this effect when an Action Skill is active.,https://img.game8.co/4265023/018e7294765382ca24e0125557b1b35d.png/show
Strike Me Down,Vex,Vexcalation,Branch 2,"Whenever Vex would enter Fight For Your Life, she immediately gets a Second Wind, becomes Invisible for a Duration, and causes a Phase Explosion.",https://img.game8.co/4265026/2008ece865ab96cbe3dda4793a4f5276.png/show
Vibe Check,Vex,Vexcalation,Branch 2,Eldritch Blast is now a Charge Skill (3). Activating Eldritch Blast consumes all Charges to Ricochet on hitting an enemy. Will Ricochet once for each Charge consumed. Eldritch Blast's Cooldown reduction from Gun Damage is doubled.,https://img.game8.co/4265035/0b41af645b2e6ba7839d526362d23978.png/show
Witchy Trigger Finger,Vex,Vexcalation,Branch 2,"Dealing Damage with Eldritch Blast or Phase Explosion will fully Refill Ammo of Vex's current Gun, and grants a stack of Witchy Trigger Finger, increasing Gun Damage for a Duration. Stacks of Witchy Trigger Finger persist even after Incarnate ends. This effect can stack.",https://img.game8.co/4265049/1c33c983e7ca07c2d0e28253320ab015.png/show
Beast Mode,Vex,Here Comes Trouble,Branch 3,"Command Skill. Press and hold Action Skill to Command Trouble to enter Beast Mode, becoming Immune to Damage and gaining increased Minion Attack Speed and Movement Speed for a Duration. Kill Skill. Extends Beast Mode's Duration.",https://img.game8.co/4265094/7398da197b7331f49dd8423e1c60b5f5.png/show
Deadwire,Vex,Here Comes Trouble,Branch 3,"When Vex deals Gun Damage, there is a Chance to spawn a Spark Remnant that will seek out a nearby enemy and explode, dealing Shock Minion Damage to other nearby enemies.",https://img.game8.co/4265092/2cc97840e42e7d515b113e835f0faf2f.png/show
Grave Current,Vex,Here Comes Trouble,Branch 3,Kill Skill. Vex's Minion(s) gain Bonus Shock Damage. This effect can stack.,https://img.game8.co/4265100/b121e3dc7a8239e31998e044a6da8616.png/show
Grave Thirst,Vex,Here Comes Trouble,Branch 3,Kill Skill. Vex and her Minion(s) gain Lifesteal for a Duration. This effect can stack.,https://img.game8.co/4265112/4ff85d1b19187ef04e782aeee167cb3c.png/show
Infusion,Vex,Here Comes Trouble,Branch 3,"When Vex uses a Repkit, she and her Minion(s) gain Bonus Damage with Guns and Melee Damage for a Duration. The Bonus Damage's Elemental Type is based on Vex's currently-equipped Attunement.",https://img.game8.co/4265107/9df3a1bcc4d970cbe52a6b8a5a53e86f.png/show
Shocking Attunement,Vex,Here Comes Trouble,Branch 3,"Attunement Skill. While Vex is Attuned to Shock, she gains increased Movement Speed and Gun Damage while moving. Effects persist for a Duration after Attunement is switched.",https://img.game8.co/4265118/bf743e7dee6e492846a339c975d60d60.png/show
Stormblessed,Vex,Here Comes Trouble,Branch 3,Vex gains increased Shock Damage and Shock Status Effect Damage.,https://img.game8.co/4265123/778fed7ef13adab5a6d9463b08189916.png/show
Unsealed,Vex,Here Comes Trouble,Branch 3,"Trouble will now Mark his current target, causing them to take increased Gun Damage from Vex. Kill Skill. When a Marked enemy is killed, Trouble gains a Stack of Unsealed for a Duration, granting Health Regeneration and increased Damage. While Phase Phamiliar is active, Unsealed effects are doubled. This effect can stack.",https://img.game8.co/4265114/d37c9cf9e974e12c6fd6720d0a50c6c8.png/show
Ancient Rites,Vex,The Fourth Seal,Branch 3,"Vex gains a stack of Ancient Rites for each of her active Minion(s) every second, increasing Minion Damage. Stacks are lost after a Duration with no active Minion.",https://img.game8.co/4264935/337e4bece327953915c3b1e35c9b443b.png/show
Banshee's Wail,Vex,The Fourth Seal,Branch 3,"Minion Skill. Reapers can now use Banshee's Wail periodically, dealing Damage to nearby enemies and granting Overshield to nearby Allies. Damage increases apply to Overshield granted to Allies. Damaged enemies deal reduced Damage for a Duration",https://img.game8.co/4264969/effaea58fc309a44b4e8b941c0cf5ed2.png/show
Dark Pact,Vex,The Fourth Seal,Branch 3,"Vex can now equip two Augments, and gains the ability to use Dark Pact. Dark Pact: Press and hold ability while a Minion is active to fully restore Health of all Phase Clones, as well as granting increased Movement Speed and Minion Attack Speed for a Duration. Phase Clones do not lose Health over time while Dark Pact is active, and Health loss is reset when Dark Pack ends.",https://img.game8.co/4264971/8428a5b618b0212decf67bc9e9cbef16.png/show
Death Follows Closer,Vex,The Fourth Seal,Branch 3,"Whenever Vex takes Damage while at Low Health, Spawn a Reaper nearby.",https://img.game8.co/4264936/c6034857b9019a0ea474ae28e962dea4.png/show
Diener,Vex,The Fourth Seal,Branch 3,Dead Ringer gains an additional Charge.,https://img.game8.co/4264943/372ad7e2dc19cfc0cc9977d73914d3d3.png/show
Obedient Fiends,Vex,The Fourth Seal,Branch 3,Vex gains increased Minion Damage. Minion Skills and Command Skills gain further increased Damage.,https://img.game8.co/4264968/0f841991d94491b1d43eb3a3b3d36422.png/show
Prismatic Weaponry,Vex,The Fourth Seal,Branch 3,"Vex and her Specters deal Bonus Damage with Gun Critical Hits. The Bonus Damage will be a random Elemental Type that changes on Reload, and that is increased for each active Attunement.",https://img.game8.co/4264947/e646bfd9f6697fbec01f996e63c32440.png/show
Spirit Bomb,Vex,The Fourth Seal,Branch 3,"Reapers gain Maximum Health Capacity and will release a Spirit Bomb Remnant when they die, dealing Damage of their Elemental Type to nearby enemies.",https://img.game8.co/4264961/f1c6bb6db317c32b283496d5854e2d96.png/show
A Deeper Grave,Vex,Vexcalation,Branch 3,Vex's Kill Skills gain increased Duration.,https://img.game8.co/4265051/22e8deb561d6bc21c112dd8d19eb8213.png/show
Ars Arcana,Vex,Vexcalation,Branch 3,Vex gains increased Skill Damage.,https://img.game8.co/4265034/130c1385a7191583c41e4737a82b1cf5.png/show
Blood Is Power,Vex,Vexcalation,Branch 3,Vex gains Bonus Kinetic Damage with Guns based on her current Lifesteal when her Health is full.,https://img.game8.co/4265053/f08f63c8564c64b6820fbfd08eb9ba39.png/show
Blood Shot,Vex,Vexcalation,Branch 3,"When Vex uses a Repkit, her next Gun Shot will become a Blood Shot, converting Damage Dealt into Kinetic Damage and dealing Bonus Damage based on her current Health.",https://img.game8.co/4265039/9d577dded1c8f28c199554d3f17b639a.png/show
Essence Leech,Vex,Vexcalation,Branch 3,Vex gains Lifesteal. Double this effect when an Action Skill is active.,https://img.game8.co/4265057/e2c553cec5a0e276168bd035e0be3556.png/show
Grave Harvest,Vex,Vexcalation,Branch 3,"Kill Skill. Killing an enemy while Incarnate is active will spawn a Soul Orb that deals Status Effect Damage over time to nearby enemies for a Duration. Use at range to detonate a Soul Orb, dealing Ordnance Damage to nearby enemies. Picking up a Soul Orb will restore Health and Action Skill Duration.",https://img.game8.co/4265038/88998aac4d90f5dc93e285c7cd9c3bc3.png/show
Grave Vitality,Vex,Vexcalation,Branch 3,Kill Skill. Vex gains increased Maximum Health Capacity and Health Regeneration. This effect can stack.,https://img.game8.co/4265022/05cf4782b3307c169350ee0d37f543c6.png/show
Heartpiercer,Vex,Vexcalation,Branch 3,"Eldritch Blast now Sacrifices Health on use, but becomes a Piercing wave. Enemies hit take Damage, and Allies hit restore Health. Gain Bonus Damage and Healing based on Sacrificed Health. Eldritch Blast no longer has a Cooldown.",https://img.game8.co/4265043/f9b802a804f5999d955130789188ae7e.png/show
